Nassim Taleb,E3bu_7Bfatg,The Black Swan author,6:03,M,Elliott
Carrie Fisher,xGtQvSkfiyI,Actress,5:18,F,Karpel
Jeff Bridges,3igL0WhZqxM,Actor,6:24,M,Karpel
Darren Aronofsky,sTJb_dFUi6I,Film Director,5:33,M,Cruz
Jimmy Wales,257swlMMxmA,The Wikipedia founder,6:16,M,Adams
Michelle Williams,Rdy2q4wC0iU,Actress,5:40,F,Del Toro
Aziz Ansari,ASe0r7TmeW4,Actor,5:42,M,Cruz
Jim Parsons,m_4uQkwLJaE,Actor,6:32,M,Karpel
David Brooks,vbnhtMPMG2g,Columnist,4:51,M,Cruz
Mike Tyson,ua5XpcCQvuI,Professional Boxer,6:59,M,Karpel
Robert Redford,s0HwsJZOPpc,Actor,6:09,M,Cruz
Robin Williams,DjktB2k6TSI,Actor,5:57,M,Luscombe
Chaz Bono,6CvQ2oKLGE4,Writer,6:34,M,Luscombe
David McCullough,I9EgI6O0Y08,Author,5:53,M,Luscombe
Li Na,LLPgvfO9PWw,Tennis player,6:21,F,Adams
Imran  Khan,VuWzPEMZDvI,Former international cricket star,5:54,M,Luscombe
Sting,y48mAQp640A,Musician,5:44,M,Luscombe
Daniel Kahneman,l4zSc2lYl60,Psychologist and Nobel Laureate,6:07,M,Luscombe
John Ashbery,hDVZ-mWrX_s,American poet,4:29,M,Luscombe
Kevin Clash,Sdos4P-O8jY,Puppeteer,4:47,M,Luscombe
Reese Witherspoon,HMLDrgdn_wM,Actress,3:26,F,Luscombe
Chris Kyle,aJ12PN81xnI,American Sniper,6:02,M,Luscombe
Suze Orman,CwfELJaNw84,Author,6:04,F,Luscombe
Damien Hirst,Zq7WkSuTcrs,British artist,5:53,M,Luscombe
Maya Rudolph,jYNISVyzLUQ,Actress,5:14,F,Luscombe
Peter Goodwin,I2d7vH4T8dM,Professor,6:30,M,Luscombe
Shimon Peres,eKkbIayp8HA,President of Israel,5:59,M,Luscombe
Julia Louis-Dreyfus,TenWR96X_0o,Actress,5:10,F,Luscombe
Robert Caro,28S37UmyuCg,Journalist,7:01,M,Luscombe
Wladimir Klitschko,PvoxSkjvqsI,Heavyweight champion boxer,6:36,M,Luscombe
Colin Powell,EMykOUv_Qqk,Former United States Secretary of State,6:13,M,Luscombe
Chris Rock,xJxA3dNd5wg,Comedian,6:19,M,Luscombe
Susan Rice,3llx0h65HIQ,U.S. Ambassador to the United Nations,6:07,F,Luscombe
Tom Jones,8E8xTJLiK-c,Singer,6:53,M,Mayer
Caitlin Moran,1WQnZhwGED4,Columnist,6:16,F,Mayer
David Adjaye,uE-XwWGIojk,Architect,5:40,M,Luscombe
Michael Chabon,QfGy-JV_ZNE,Pulitzer Prize winning author,6:14,M,Luscombe
Gerhard Richter,wydIIdnPC-o,Visual Artist,4:20,M,Luscombe
Ty Burrell,eny4SLbm6Js,Actor,5:21,M,Luscombe
